name,area,area2,technology,qualifier,build_year,retire_year,cumulative,nom
CZ PL electricity import AC 2020,CZ,PL,electricity import AC,,2020,2020,TRUE,1280.0
CZ PL electricity import AC 2025,CZ,PL,electricity import AC,,2025,2025,TRUE,1280.0
CZ PL electricity import AC 2030,CZ,PL,electricity import AC,,2030,2030,TRUE,1280.0
CZ PL electricity import AC 2035,CZ,PL,electricity import AC,,2035,2035,TRUE,1280.0
CZ PL electricity import AC 2040,CZ,PL,electricity import AC,,2040,2040,TRUE,1280.0
CZ PL electricity import AC 2045,CZ,PL,electricity import AC,,2045,2045,TRUE,1280.0
CZ PL electricity import AC 2050,CZ,PL,electricity import AC,,2050,2050,TRUE,1280.0
DE PL electricity import AC 2020,DE,PL,electricity import AC,,2020,2020,TRUE,2340.0
DE PL electricity import AC 2025,DE,PL,electricity import AC,,2025,2025,TRUE,2340.0
DE PL electricity import AC 2030,DE,PL,electricity import AC,,2030,2030,TRUE,3120.0
DE PL electricity import AC 2035,DE,PL,electricity import AC,,2035,2035,TRUE,3120.0
DE PL electricity import AC 2040,DE,PL,electricity import AC,,2040,2040,TRUE,3120.0
DE PL electricity import AC 2045,DE,PL,electricity import AC,,2045,2045,TRUE,3120.0
DE PL electricity import AC 2050,DE,PL,electricity import AC,,2050,2050,TRUE,3120.0
LT PL electricity import AC 2025,LT,PL,electricity import AC,,2025,2025,TRUE,1000.0
LT PL electricity import AC 2030,LT,PL,electricity import AC,,2030,2030,TRUE,1000.0
LT PL electricity import AC 2035,LT,PL,electricity import AC,,2035,2035,TRUE,1000.0
LT PL electricity import AC 2040,LT,PL,electricity import AC,,2040,2040,TRUE,1000.0
LT PL electricity import AC 2045,LT,PL,electricity import AC,,2045,2045,TRUE,1000.0
LT PL electricity import AC 2050,LT,PL,electricity import AC,,2050,2050,TRUE,1000.0
LT PL electricity import DC 2020,LT,PL,electricity import DC,,2020,2020,TRUE,500.0
LT PL electricity import DC 2030,LT,PL,electricity import DC,,2030,2030,TRUE,700.0
LT PL electricity import DC 2035,LT,PL,electricity import DC,,2035,2035,TRUE,700.0
LT PL electricity import DC 2040,LT,PL,electricity import DC,,2040,2040,TRUE,700.0
LT PL electricity import DC 2045,LT,PL,electricity import DC,,2045,2045,TRUE,700.0
LT PL electricity import DC 2050,LT,PL,electricity import DC,,2050,2050,TRUE,700.0
PL CZ electricity export AC 2020,PL,CZ,electricity export AC,,2020,2020,TRUE,2330.0
PL CZ electricity export AC 2025,PL,CZ,electricity export AC,,2025,2025,TRUE,2330.0
PL CZ electricity export AC 2030,PL,CZ,electricity export AC,,2030,2030,TRUE,2330.0
PL CZ electricity export AC 2035,PL,CZ,electricity export AC,,2035,2035,TRUE,2330.0
PL CZ electricity export AC 2040,PL,CZ,electricity export AC,,2040,2040,TRUE,2330.0
PL CZ electricity export AC 2045,PL,CZ,electricity export AC,,2045,2045,TRUE,2330.0
PL CZ electricity export AC 2050,PL,CZ,electricity export AC,,2050,2050,TRUE,2330.0
PL DE electricity export AC 2020,PL,DE,electricity export AC,,2020,2020,TRUE,1900.0
PL DE electricity export AC 2025,PL,DE,electricity export AC,,2025,2025,TRUE,1900.0
PL DE electricity export AC 2030,PL,DE,electricity export AC,,2030,2030,TRUE,2540.0
PL DE electricity export AC 2035,PL,DE,electricity export AC,,2035,2035,TRUE,2540.0
PL DE electricity export AC 2040,PL,DE,electricity export AC,,2040,2040,TRUE,2540.0
PL DE electricity export AC 2045,PL,DE,electricity export AC,,2045,2045,TRUE,2540.0
PL DE electricity export AC 2050,PL,DE,electricity export AC,,2050,2050,TRUE,2540.0
PL LT electricity export AC 2025,PL,LT,electricity export AC,,2025,2025,TRUE,1000.0
PL LT electricity export AC 2030,PL,LT,electricity export AC,,2030,2030,TRUE,1000.0
PL LT electricity export AC 2035,PL,LT,electricity export AC,,2035,2035,TRUE,1000.0
PL LT electricity export AC 2040,PL,LT,electricity export AC,,2040,2040,TRUE,1000.0
PL LT electricity export AC 2045,PL,LT,electricity export AC,,2045,2045,TRUE,1000.0
PL LT electricity export AC 2050,PL,LT,electricity export AC,,2050,2050,TRUE,1000.0
PL LT electricity export DC 2020,PL,LT,electricity export DC,,2020,2020,TRUE,500.0
PL LT electricity export DC 2030,PL,LT,electricity export DC,,2030,2030,TRUE,700.0
PL LT electricity export DC 2035,PL,LT,electricity export DC,,2035,2035,TRUE,700.0
PL LT electricity export DC 2040,PL,LT,electricity export DC,,2040,2040,TRUE,700.0
PL LT electricity export DC 2045,PL,LT,electricity export DC,,2045,2045,TRUE,700.0
PL LT electricity export DC 2050,PL,LT,electricity export DC,,2050,2050,TRUE,700.0
PL SE electricity export DC 2020,PL,SE,electricity export DC,,2020,2020,TRUE,600.0
PL SE electricity export DC 2025,PL,SE,electricity export DC,,2025,2025,TRUE,600.0
PL SE electricity export DC 2030,PL,SE,electricity export DC,,2030,2030,TRUE,600.0
PL SE electricity export DC 2035,PL,SE,electricity export DC,,2035,2035,TRUE,600.0
PL SE electricity export DC 2040,PL,SE,electricity export DC,,2040,2040,TRUE,600.0
PL SE electricity export DC 2045,PL,SE,electricity export DC,,2045,2045,TRUE,600.0
PL SE electricity export DC 2050,PL,SE,electricity export DC,,2050,2050,TRUE,600.0
PL SK electricity export AC 2020,PL,SK,electricity export AC,,2020,2020,TRUE,1610.0
PL SK electricity export AC 2025,PL,SK,electricity export AC,,2025,2025,TRUE,1610.0
PL SK electricity export AC 2030,PL,SK,electricity export AC,,2030,2030,TRUE,1610.0
PL SK electricity export AC 2035,PL,SK,electricity export AC,,2035,2035,TRUE,1610.0
PL SK electricity export AC 2040,PL,SK,electricity export AC,,2040,2040,TRUE,1610.0
PL SK electricity export AC 2045,PL,SK,electricity export AC,,2045,2045,TRUE,1610.0
PL SK electricity export AC 2050,PL,SK,electricity export AC,,2050,2050,TRUE,1610.0
PL BEV to BEV bus 2020,PL,,BEV,to BEV bus,2020,,FALSE,130.0
PL BEV to BEV bus 2025,PL,,BEV,to BEV bus,2025,,FALSE,1870.0
